"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""210710 MORROS"";41;919;-;-;-;-;960"
"""210720 NINA RODRIGUES"";1;580;-;-;-;-;581"
"""210725 NOVA COLINAS"";-;384;-;-;-;-;384"
"""210735 NOVA OLINDA DO MARANHAO"";-;1596;-;-;-;-;1596"
"""210740 OLHO D'AGUA DAS CUNHAS"";-;1251;-;-;-;-;1251"
"""210745 OLINDA NOVA DO MARANHAO"";-;852;-;-;-;-;852"
"""210750 PACO DO LUMIAR"";256;2257;-;-;-;-;2513"
"""210760 PALMEIRANDIA"";1;797;-;-;-;-;798"
"""210770 PARAIBANO"";-;831;-;-;-;-;831"
"""210780 PARNARAMA"";2;1626;-;-;-;-;1628"
"""210790 PASSAGEM FRANCA"";7;4648;-;-;-;-;4655"
"""210800 PASTOS BONS"";-;1148;-;-;-;-;1148"
