"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""240810 NATAL"";11787657,74;10454010,29;22241668,03"
"""240830 NOVA CRUZ"";26577,04;-;26577,04"
"""240910 PASSA E FICA"";16996,12;-;16996,12"
"""240940 PAU DOS FERROS"";333444,29;-;333444,29"
"""241000 PILOES"";1234,12;-;1234,12"
"""241070 RIACHO DA CRUZ"";4702,32;-;4702,32"
"""241120 SANTA CRUZ"";358328,02;-;358328,02"
"""241150 SANTO ANTONIO"";74308,65;-;74308,65"
"""241200 SAO GONCALO DO AMARANTE"";143703,63;-;143703,63"
"""241220 SAO JOSE DE MIPIBU"";214156,93;-;214156,93"
"""241240 SAO JOSE DO SERIDO"";3398,88;-;3398,88"
"""241260 SAO PAULO DO POTENGI"";43410,64;-;43410,64"
"""241330 SERRA DE SAO BENTO"";2873,69;-;2873,69"
