"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""150030 AFUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;853;-;-;-;-;-;-;-;-;-;-;-;-;-;853"
"""150034 AGUA AZUL DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;916;-;-;-;-;-;-;-;-;-;-;-;-;-;916"
"""150040 ALENQUER"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5610;5610"
"""150050 ALMEIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;1969;-;-;-;-;-;-;-;-;-;-;-;-;-;1969"
"""150060 ALTAMIRA"";-;5926;-;-;-;-;-;-;-;-;-;-;-;6887;-;-;-;-;-;-;-;-;-;-;-;-;-;12813"
"""150070 ANAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1466;-;-;-;-;-;-;-;-;-;-;-;-;-;1466"
"""150080 ANANINDEUA"";-;12033;1443;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3750;-;-;-;-;-;-;-;8023;25249"
"""150085 ANAPU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1459;-;-;-;-;-;-;-;-;-;-;-;-;-;1459"
"""150090 AUGUSTO CORREA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3888;3888"
"""150095 AURORA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1437;-;-;-;-;-;-;-;-;-;-;-;-;-;1437"
"""150110 BAGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;583;-;-;-;-;-;-;-;-;-;-;-;-;-;583"
"""150120 BAIAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1649;-;-;-;-;-;-;-;-;-;-;-;-;-;1649"
"""150125 BANNACH"";-;-;-;-;-;-;-;-;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;187"
"""150130 BARCARENA"";-;3314;-;-;-;-;-;-;-;-;-;-;-;3436;-;-;-;-;-;-;-;-;-;-;-;-;-;6750"
"""150140 BELEM"";-;33236;23411;-;7148;-;-;40155;-;-;-;-;-;-;-;-;6471;-;4926;-;-;-;-;-;-;-;33776;149123"
"""150145 BELTERRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;323;-;-;-;-;-;-;-;-;-;-;-;-;-;323"
"""150157 BOM JESUS DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1005;-;-;-;-;-;-;-;-;-;-;-;-;-;1005"
"""150170 BRAGANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11310;11310"
"""150172 BRASIL NOVO"";-;-;-;-;-;-;-;-;-;-;-;-;-;2934;-;-;-;-;-;-;-;-;-;-;-;-;-;2934"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;694;-;-;-;-;-;-;-;-;-;-;-;-;-;694"
"""150178 BREU BRANCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1384;-;-;-;-;-;-;-;-;-;-;-;-;-;1384"
"""150180 BREVES"";-;4610;-;-;-;-;-;-;-;-;-;-;-;5488;-;-;-;-;-;-;-;-;-;-;-;-;-;10098"
"""150200 CACHOEIRA DO ARARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1386;-;-;-;-;-;-;-;-;-;-;-;-;-;1386"
"""150210 CAMETA"";-;3029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4609;7638"
"""150215 CANAA DOS CARAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;5801;-;-;-;-;441;-;-;-;-;-;-;-;-;6242"
"""150220 CAPANEMA"";-;6459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3053;9512"
"""150230 CAPITAO POCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1136;-;-;-;-;-;-;-;-;1136"
"""150240 CASTANHAL"";-;6145;-;-;-;-;-;-;-;-;-;-;-;5238;-;-;-;-;-;-;-;-;-;-;-;-;15261;26644"
"""150250 CHAVES"";-;-;-;-;-;-;-;-;-;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;-;-;-;152"
"""150270 CONCEICAO DO ARAGUAIA"";-;2004;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2481;-;-;-;-;-;-;-;-;4485"
"""150275 CONCORDIA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;993;-;-;-;-;-;-;-;-;-;-;-;-;-;993"
"""150276 CUMARU DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1058;-;-;-;-;-;-;-;-;-;-;-;-;-;1058"
"""150277 CURIONOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1118;-;-;-;-;-;-;-;-;-;-;-;-;-;1118"
"""150280 CURRALINHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1985;-;-;-;-;-;-;-;-;-;-;-;-;-;1985"
"""150290 CURUCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1617;-;-;-;-;-;-;-;-;-;-;-;-;-;1617"
"""150293 DOM ELISEU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1642;-;-;-;-;-;-;-;-;-;-;-;-;-;1642"
"""150295 ELDORADO DOS CARAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1280;-;-;-;-;-;-;-;-;-;-;-;-;-;1280"
"""150300 FARO"";-;-;-;-;-;-;-;-;-;-;-;-;-;451;-;-;-;-;-;-;-;-;-;-;-;-;-;451"
"""150304 FLORESTA DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1047;-;-;-;-;-;-;-;-;-;-;-;-;-;1047"
"""150307 GARRAFAO DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;449;-;-;-;-;-;-;-;-;-;-;-;-;-;449"
"""150309 GOIANESIA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1334;-;-;-;-;-;-;-;-;-;-;-;-;-;1334"
"""150310 GURUPA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1766;-;-;-;-;-;-;-;-;-;-;-;-;-;1766"
"""150320 IGARAPE-ACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1387;-;-;-;-;-;-;-;-;-;-;-;-;-;1387"
"""150330 IGARAPE-MIRI"";-;-;-;-;-;-;-;-;-;-;-;-;-;2600;-;-;-;-;4656;-;-;-;-;-;-;-;-;7256"
"""150340 INHANGAPI"";-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;69"
"""150345 IPIXUNA DO PARA"";-;1775;-;-;-;-;-;-;-;-;-;-;-;1867;-;-;-;-;-;-;-;-;-;-;-;-;-;3642"
"""150350 IRITUIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;575;-;-;-;-;-;-;-;-;-;-;-;-;-;575"
"""150360 ITAITUBA"";-;4894;-;-;-;-;-;-;-;-;-;-;-;4497;-;-;-;-;-;-;-;-;-;-;-;-;-;9391"
"""150370 ITUPIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1392;-;-;-;-;-;-;-;-;-;-;-;-;-;1392"
"""150375 JACAREACANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1301;-;-;-;-;-;-;-;-;-;-;-;-;-;1301"
"""150380 JACUNDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2593;-;-;-;-;3041;-;-;-;-;-;-;-;-;5634"
"""150390 JURUTI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1440;-;-;-;-;-;-;-;-;-;-;-;-;355;1795"
"""150400 LIMOEIRO DO AJURU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1203;-;-;-;-;-;-;-;-;-;-;-;-;-;1203"
"""150405 MAE DO RIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;2039;-;-;-;-;-;-;-;-;-;-;-;-;-;2039"
"""150420 MARABA"";-;5239;-;-;-;-;-;-;-;-;-;-;-;12031;-;-;-;-;-;-;-;-;-;-;-;-;-;17270"
"""150430 MARACANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;409;-;-;-;-;-;-;-;-;-;-;-;-;-;409"
"""150440 MARAPANIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;225;-;-;-;-;-;-;-;-;-;-;-;-;-;225"
"""150442 MARITUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1030;-;-;-;-;-;-;-;-;-;-;-;-;6445;7475"
"""150445 MEDICILANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1866;-;-;-;-;-;-;-;-;-;-;-;-;-;1866"
"""150450 MELGACO"";-;-;-;-;-;-;-;-;-;-;-;-;-;445;-;-;-;-;-;-;-;-;-;-;-;-;-;445"
"""150460 MOCAJUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2189;-;-;-;-;-;-;-;-;-;-;-;-;-;2189"
"""150470 MOJU"";-;-;-;-;-;-;-;-;-;-;-;-;-;2204;-;-;-;-;-;-;-;-;-;-;-;-;-;2204"
"""150480 MONTE ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;3537;-;-;-;-;-;-;-;-;-;-;-;-;-;3537"
"""150490 MUANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2156;-;-;-;-;-;-;-;-;-;-;-;-;-;2156"
"""150495 NOVA ESPERANCA DO PIRIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;573;-;-;-;-;-;-;-;-;-;-;-;-;-;573"
"""150497 NOVA IPIXUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;339;-;-;-;-;-;-;-;-;-;-;-;-;-;339"
"""150503 NOVO PROGRESSO"";-;-;-;-;-;-;-;-;-;-;-;-;-;2160;-;-;-;-;-;-;-;-;-;-;-;-;-;2160"
"""150506 NOVO REPARTIMENTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1299;-;-;-;-;-;-;-;-;-;-;-;-;-;1299"
"""150510 OBIDOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2479;2479"
"""150520 OEIRAS DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1192;-;-;-;-;-;-;-;-;-;-;-;-;-;1192"
"""150530 ORIXIMINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;4442;-;-;-;-;-;-;-;-;-;-;-;-;1240;5682"
"""150540 OUREM"";-;-;-;-;-;-;-;-;-;-;-;-;-;859;-;-;-;-;-;-;-;-;-;-;-;-;-;859"
"""150543 OURILANDIA DO NORTE"";-;3372;-;-;-;-;-;-;-;-;-;-;-;3383;-;-;-;-;-;-;-;-;-;-;-;-;-;6755"
"""150548 PACAJA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2406;-;-;-;-;-;-;-;-;-;-;-;-;-;2406"
"""150549 PALESTINA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1478;-;-;-;-;-;-;-;-;-;-;-;-;-;1478"
"""150550 PARAGOMINAS"";-;3241;-;-;-;-;-;-;-;-;-;-;-;5454;-;-;-;-;-;-;-;-;-;-;-;-;-;8695"
"""150553 PARAUAPEBAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;12600;-;-;-;-;277;-;-;-;-;-;-;-;-;12877"
"""150555 PAU D'ARCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1266;-;-;-;-;-;-;-;-;-;-;-;-;-;1266"
"""150563 PICARRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;678;-;-;-;-;-;-;-;-;-;-;-;-;-;678"
"""150565 PLACAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1488;-;-;-;-;-;-;-;-;-;-;-;-;-;1488"
"""150570 PONTA DE PEDRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1137;-;-;-;-;-;-;-;-;-;-;-;-;-;1137"
"""150580 PORTEL"";-;-;-;-;-;-;-;-;-;-;-;-;-;2963;-;-;-;-;-;-;-;-;-;-;-;-;-;2963"
"""150590 PORTO DE MOZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;2069;-;-;-;-;-;-;-;-;-;-;-;-;-;2069"
"""150600 PRAINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1686;-;-;-;-;-;-;-;-;-;-;-;-;-;1686"
"""150613 REDENCAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;4926;-;-;-;-;-;-;-;-;-;-;-;-;6574;11500"
"""150616 RIO MARIA"";-;3112;-;-;-;-;-;-;-;-;-;-;-;1181;-;-;-;-;-;-;-;-;-;-;-;-;-;4293"
"""150618 RONDON DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2516;-;-;-;-;-;-;-;-;-;-;-;-;-;2516"
"""150619 RUROPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1816;-;-;-;-;-;-;-;-;-;-;-;-;-;1816"
"""150620 SALINOPOLIS"";-;2890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2890"
"""150630 SALVATERRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1233;-;-;-;-;-;-;-;-;-;-;-;-;-;1233"
"""150640 SANTA CRUZ DO ARARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;625;-;-;-;-;-;-;-;-;-;-;-;-;-;625"
"""150650 SANTA IZABEL DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;3052;-;-;-;-;-;-;-;-;-;-;-;-;-;3052"
"""150658 SANTA MARIA DAS BARREIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;854;-;-;-;-;-;-;-;-;-;-;-;-;-;854"
"""150660 SANTA MARIA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2517;2517"
"""150670 SANTANA DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2527;-;-;-;-;-;-;-;-;-;-;-;-;-;2527"
"""150680 SANTAREM"";-;5418;-;-;-;-;-;-;-;-;-;-;-;15394;-;-;-;-;312;-;-;-;-;-;-;-;2692;23816"
"""150700 SANTO ANTONIO DO TAUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4816;4816"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;563;-;-;-;-;-;-;-;-;-;-;-;-;-;563"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;954;-;-;-;-;-;-;-;-;-;-;-;-;-;954"
"""150730 SAO FELIX DO XINGU"";-;-;1292;-;-;-;-;-;-;-;-;-;-;1230;-;-;-;-;1215;-;-;-;-;-;-;-;-;3737"
"""150745 SAO GERALDO DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1440;-;-;-;-;-;-;-;-;-;-;-;-;-;1440"
"""150747 SAO JOAO DE PIRABAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;708;-;-;-;-;-;-;-;-;-;-;-;-;-;708"
"""150750 SAO JOAO DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;142;-;-;-;-;-;-;-;-;-;-;-;-;-;142"
"""150760 SAO MIGUEL DO GUAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2798;-;-;-;-;-;-;-;-;-;-;-;-;-;2798"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1444;-;-;-;-;-;-;-;-;-;-;-;-;-;1444"
"""150775 SAPUCAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;210"
"""150780 SENADOR JOSE PORFIRIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1618;-;-;-;-;-;-;-;-;-;-;-;-;-;1618"
"""150790 SOURE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1543;-;-;-;-;-;-;-;-;-;-;-;-;-;1543"
"""150795 TAILANDIA"";-;4215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4215"
"""150797 TERRA SANTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;792;-;-;-;-;-;-;-;-;-;-;-;-;-;792"
"""150800 TOME-ACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;3051;-;-;-;-;-;-;-;-;-;-;-;-;-;3051"
"""150803 TRACUATEUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1290;-;-;-;-;-;-;-;-;-;-;-;-;-;1290"
"""150805 TRAIRAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1330;-;-;-;-;-;-;-;-;-;-;-;-;-;1330"
"""150808 TUCUMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;122;-;-;-;-;1902;-;-;-;-;-;-;-;-;2024"
"""150810 TUCURUI"";-;5968;-;-;-;-;-;-;-;-;-;-;-;2486;-;-;-;-;-;-;-;-;-;-;-;-;-;8454"
"""150812 ULIANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1766;-;-;-;-;-;-;-;-;-;-;-;-;2068;3834"
"""150815 URUARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;3832;-;-;-;-;-;-;-;-;-;-;-;-;-;3832"
"""150820 VIGIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1724;-;-;-;-;-;-;-;-;-;-;-;-;-;1724"
"""150830 VISEU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1827;1827"
"""150835 VITORIA DO XINGU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1461;-;-;-;-;-;-;-;-;-;-;-;-;-;1461"
"""150840 XINGUARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2992;-;-;-;-;-;-;-;-;-;-;-;-;-;2992"
"""160005 SERRA DO NAVIO"";-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36"
"""160010 AMAPA"";-;114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114"
"""160015 PEDRA BRANCA DO AMAPARI"";-;114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114"
"""160020 CALCOENE"";-;267;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;267"
"""160023 FERREIRA GOMES"";-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61"
"""160027 LARANJAL DO JARI"";-;4403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4403"
"""160030 MACAPA"";-;34206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2371;-;208;-;-;-;-;-;-;-;4411;41196"
"""160040 MAZAGAO"";-;142;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;142"
"""160050 OIAPOQUE"";-;1737;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1737"
"""160053 PORTO GRANDE"";-;2876;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2876"
"""160060 SANTANA"";-;5889;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;690;-;-;-;-;-;-;-;-;6579"
"""160070 TARTARUGALZINHO"";-;348;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;348"
"""170070 ALVORADA"";-;340;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;340"
"""170100 ANANAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;158"
"""170190 ARAGUACEMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;854;-;-;-;-;-;-;-;-;-;-;-;-;-;854"
"""170200 ARAGUACU"";-;551;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;551"
"""170210 ARAGUAINA"";-;10909;3976;-;-;-;-;-;-;-;-;-;-;-;-;-;1618;-;2;-;-;-;-;-;-;-;10727;27232"
"""170220 ARAGUATINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1190;-;-;-;-;-;-;-;-;-;-;-;-;-;1190"
"""170230 ARAPOEMA"";-;1239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1239"
"""170240 ARRAIAS"";-;1573;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1573"
"""170255 AUGUSTINOPOLIS"";-;4467;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4467"
"""170550 COLINAS DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1915;-;-;-;-;-;-;-;-;-;-;-;-;-;1915"
"""170610 CRISTALANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;45"
"""170700 DIANOPOLIS"";-;1934;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1934"
"""170710 DIVINOPOLIS DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-;-;-;-;-;-;-;-;-;190"
"""170730 DUERE"";-;-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;61"
"""170820 FORMOSO DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;798;-;-;-;-;-;-;-;-;-;-;-;-;-;798"
"""170900 GOIATINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;113"
"""170930 GUARAI"";-;2844;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2844"
"""170950 GURUPI"";-;10568;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10568"
"""171050 ITACAJA"";-;-;-;-;-;-;-;-;-;-;-;-;-;276;-;-;-;-;-;-;-;-;-;-;-;-;-;276"
"""171190 LAGOA DA CONFUSAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;20"
"""171320 MIRACEMA DO TOCANTINS"";-;3507;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3507"
"""171420 NATIVIDADE"";-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;131"
"""171575 PALMEIROPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;179;-;-;-;-;-;-;-;-;-;-;-;-;-;179"
"""171610 PARAISO DO TOCANTINS"";-;6453;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6453"
"""171620 PARANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;328;-;-;-;-;-;-;-;-;-;-;-;-;-;328"
"""171650 PEDRO AFONSO"";-;1048;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1048"
"""171660 PEIXE"";-;-;-;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;250"
"""171700 PINDORAMA DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;112"
"""171750 PIUM"";-;-;-;-;-;-;-;-;-;-;-;-;-;473;-;-;-;-;-;-;-;-;-;-;-;-;-;473"
"""171790 PONTE ALTA DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;114;-;-;-;-;-;-;-;-;-;-;-;-;-;114"
"""171820 PORTO NACIONAL"";-;7083;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7083"
"""172065 SILVANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;119"
"""172080 SITIO NOVO DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;267;-;-;-;-;-;-;-;-;-;-;-;-;-;267"
"""172090 TAGUATINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;641;-;-;-;-;-;-;-;-;-;-;-;-;-;641"
"""172100 PALMAS"";-;28895;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113;116;-;-;-;-;-;-;-;-;29124"
"""172120 TOCANTINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1040;-;-;-;-;-;-;-;-;-;-;-;-;-;1040"
"""172210 XAMBIOA"";-;1430;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1430"
"""210005 ACAILANDIA"";-;1349;-;-;-;-;-;-;-;-;-;-;-;7924;-;-;-;-;-;-;-;-;-;-;-;-;-;9273"
"""210010 AFONSO CUNHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;131"
"""210020 ALCANTARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;929;-;-;-;-;-;-;-;-;-;-;-;-;-;929"
"""210030 ALDEIAS ALTAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;532;-;-;-;-;-;-;-;-;-;-;-;-;-;532"
"""210043 ALTO ALEGRE DO MARANHAO"";-;3818;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3818"
"""210047 ALTO ALEGRE DO PINDARE"";-;-;-;-;-;-;-;-;-;-;-;-;-;2463;-;-;-;-;-;-;-;-;-;-;-;-;-;2463"
"""210050 ALTO PARNAIBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;315;-;-;-;-;-;-;-;-;-;-;-;-;-;315"
